,inicio,varinicio,varfim,PT_V,ID,VIR,inteiro,real,literal,leia,escreva,LIT,NUM,ATR,OPM,se,AB_P,FC_P,entao,OPR,fimse,repita,fimrepita,fim,EOF
0,s2,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1
1,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,a
2,e2,s4,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2
3,e0,e0,e0,e0,s13,e0,e0,e0,e0,s11,s12,e0,e0,e0,e0,s16,e0,e0,e0,e0,e0,s17,e0,s10,e0
4,e2,e2,s20,e2,e2,e2,s22,s23,s24,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2
5,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,r1
6,e0,e0,e0,e0,s13,e0,e0,e0,e0,s11,s12,e0,e0,e0,e0,s16,e0,e0,e0,e0,e0,s17,e0,s10,e0
7,e0,e0,e0,e0,s13,e0,e0,e0,e0,s11,s12,e0,e0,e0,e0,s16,e0,e0,e0,e0,e0,s17,e0,s10,e0
8,e0,e0,e0,e0,s13,e0,e0,e0,e0,s11,s12,e0,e0,e0,e0,s16,e0,e0,e0,e0,e0,s17,e0,s10,e0
9,e0,e0,e0,e0,s13,e0,e0,e0,e0,s11,s12,e0,e0,e0,e0,s16,e0,e0,e0,e0,e0,s17,e0,s10,e0
10,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,r38
11,e0,e0,e0,e0,s29,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0
12,e0,e0,e0,e0,s33,e0,e0,e0,e0,e0,e0,s31,s32,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0
13,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,s34,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0
14,e0,e0,e0,e0,s13,e0,e0,e0,e0,s11,s12,e0,e0,e0,e0,s16,e0,e0,e0,e0,s39,e0,e0,e0,e0
15,e0,e0,e0,e0,s13,e0,e0,e0,e0,s11,s12,e0,e0,e0,e0,s16,e0,e0,e0,e0,e0,e0,s44,e0,e0
16,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,s45,e0,e0,e0,e0,e0,e0,e0,e0
17,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,s46,e0,e0,e0,e0,e0,e0,e0,e0
